survey_id,x_utm,y_utm,Cu_express,Ni_express,Set
XRF1,493185.8644,7536146.411,4.055,10.505,Test
XRF2,493184.6693,7536163.596,0.813,1.34,Test
XRF3,493186.4248,7536171.147,0.446,0.386,Test
XRF4,493180.4863,7536182.514,1.038,1.292,Validation
XRF5,493182.9027,7536190.667,4.589,4.437,Test
XRF6,493181.504,7536195.766,3.809,11.692,Test
XRF7,493178.1196,7536205.495,6.204,11.486,Test
XRF8,493176.8179,7536214.123,0.398,0.908,Validation
XRF9,493174.8212,7536231.959,1.888,5.596,Test
XRF10,493173.2075,7536245.294,5.06,12.178,Test
XRF11,493173.4867,7536260.44,2.632,8.188,Test
XRF12,493186.5414,7536258.207,4.101,1.875,Validation
XRF13,493191.6661,7536240.539,4.487,9.28,Test
XRF14,493195.8776,7536228,3.094,6.073,Test
XRF15,493198.5183,7536209.692,4.012,14.124,Test
XRF16,493194.99,7536194.665,6.488,6.445,Validation
XRF17,493198.0032,7536185.264,1.057,3.915,Test
XRF18,493198.8848,7536175.931,0.137,0.144,Test
XRF19,493199.5636,7536170.566,0.558,1.775,Test
XRF20,493198.5332,7536164.277,2.87,2.513,Validation
XRF21,493197.827,7536155.533,0.697,1.253,Test
XRF22,493203.8633,7536150.515,0.539,0.417,Test
XRF23,493209.2724,7536159.864,2.057,8.06,Test
XRF24,493211.5253,7536169.456,0.876,1.846,Validation
XRF25,493210.5257,7536175.385,0.93,2.508,Test
XRF26,493213.3216,7536185.283,1.186,2.004,Test
XRF27,493213.1868,7536195.575,1.102,2.067,Test
XRF28,493212.1081,7536202.992,2.888,4.154,Validation
XRF29,493210.9841,7536211.664,9.045,11.098,Test
XRF30,493206.0909,7536219.544,2.109,11.503,Test
XRF31,493201.2099,7536226.919,1.763,1.612,Test
XRF32,493201.5422,7536235.04,1.254,1.664,Validation
XRF33,493196.7959,7536252.074,3.279,15.088,Test
XRF34,493180.7196,7536267.338,1.464,1.351,Test
XRF35,493184.2791,7536278.455,4.132,2.897,Test
XRF36,493197.5109,7536275.864,1.692,1.633,Validation
XRF37,493212.4915,7536266.612,5.712,16.674,Test
XRF38,493225.368,7536248.466,2.157,4.449,Test
XRF39,493218.8886,7536230.147,2.101,2.088,Test
XRF40,493222.5359,7536221.998,3.707,20.986,Validation
XRF41,493223.8986,7536209.216,4.529,13.321,Test
XRF42,493232.158,7536198.66,3.848,13.732,Test
XRF43,493225.7305,7536185.147,3.195,9.027,Test
XRF44,493227.3395,7536175.335,2.325,4.594,Validation
XRF45,493232.3306,7536165.098,0.951,2.008,Test
XRF46,493234.4671,7536156.635,3.146,13.024,Test
XRF47,493215.8847,7536148.022,1.006,3.089,Test
XRF48,493225.3957,7536133.886,2.83,16.835,Validation
XRF49,493241.577,7536144.95,5.919,13.147,Test
XRF50,493249.0048,7536158.901,1.213,5.272,Test
XRF51,493264.1081,7536177.477,7.639,11.769,Test
XRF52,493255.1045,7536193.178,1.564,4.841,Validation
XRF53,493247.5715,7536208.969,2.879,3.287,Test
XRF54,493241.2314,7536228.085,3.65,7.631,Test
XRF55,493234.2346,7536241.751,3.189,13.969,Test
XRF56,493233.7907,7536255.867,4.955,2.75,Validation
XRF57,493231.0383,7536267.429,4.707,20.287,Test
XRF58,493220.4877,7536288.358,3.492,8.324,Test
XRF59,493203.0104,7536290.991,4.203,11.654,Test
XRF60,493180.7523,7536300.321,5.56,5.109,Validation
XRF61,493186.8362,7536317.386,2.965,10.937,Test
XRF62,493204.3197,7536312.538,3.565,11.722,Test
XRF63,493222.814,7536303.322,3.26,9.073,Test
XRF64,493242.0534,7536296.263,2.891,5.595,Validation
XRF65,493257.4059,7536292.543,0.308,0.253,Test
XRF66,493273.3379,7536275.661,0.456,0.534,Test
XRF67,493280.9534,7536265.063,0.838,2.882,Test
XRF68,493292.2641,7536250.469,2.416,8.514,Validation
XRF69,493301.1915,7536236.905,2.618,3.927,Test
XRF70,493311.3951,7536220.352,1.207,2.085,Test
XRF71,493299.3614,7536207.976,4.697,4.251,Test
XRF72,493297.7068,7536195.212,5.414,13.612,Validation
XRF73,493296.0452,7536176.672,2.699,11.597,Test
XRF74,493290.8009,7536160.448,3.066,7.998,Test
XRF75,493290.9159,7536145.775,2.247,4.337,Test
XRF76,493269.6292,7536141.128,8.719,11.456,Validation
XRF77,493277.9028,7536163.991,0.838,2.221,Test
XRF78,493280.6699,7536181.44,6.306,8.31,Test
XRF79,493280.2168,7536206.783,0.796,1.281,Test
XRF80,493282.4126,7536234.616,0.431,0.501,Validation
XRF81,493306.3196,7536269.557,2.785,17.476,Test
XRF82,493250.3986,7536243.746,0.975,2.476,Test
XRF83,493264.0308,7536225.129,0.96,1.147,Test
XRF84,493267.9801,7536207.502,3.756,2.709,Validation
XRF85,493245.7702,7536278.308,1.135,1.878,Test
XRF86,493258.6875,7536264.814,2.892,5.973,Test
